,max_depth,accuracy
0,1.0,0.759290538411851
1,2.0,0.826282335054971
2,3.0,0.8416386742420194
3,4.0,0.8444409996134696
4,5.0,0.8484336242197082
5,6.0,0.8519658394282154
6,7.0,0.8531944010974657
7,8.0,0.85415408662624
8,9.0,0.8540006536744871
9,10.0,0.8541925996236397
10,11.0,0.8516971327861972
11,12.0,0.8504686300729322
12,13.0,0.8482419067249987
13,14.0,0.8464376619677518
14,15.0,0.8439806860192146
15,16.0,0.8414469641168081
16,17.0,0.8393737990020963
17,18.0,0.8385676790760417
18,19.0,0.8366866294089403
19,20.0,0.8341144903126103
